абонировать  заабонировать
ржаветь  заржаветь
ржать  заржать
рисовать  нарисовать
рисоваться  нарисоваться
робеть  оробеть
ровнять  выровнять
ровнять  разровнять
ровняться  выровняться
роговеть  ороговеть
роднить  породнить
роднить  сроднить
родниться  породниться
рожать  родить
рождаться  нарождаться
рождаться  родиться
розоветь  порозоветь
роиться  отроиться
рокотать  зарокотать
ронять  уронить
роптать  зароптать
ротозействовать  поротозействовать
рубить  отрубить
рубить  срубить
рубрицировать  прорубрицировать
рубрицироваться  прорубрицироваться
ругать  выругать
ругать  отругать
ругать  ругнуть
ругаться  выругаться
ругаться  ругнуться
руководить  поруководить
румянить  зарумянить
румяниться  разрумяниться
ручаться  поручиться
рушить  разрушить
рушиться  разрушиться
рушиться  рухнуть
рыбачить  порыбачить
рыгать  рыгнуть
рыдать  зарыдать
рыкать  рыкнуть
рыть  взрыть
рыть  вырыть
рыхлить  разрыхлить
рыхлиться  разрыхлиться
рычать  зарычать
рычать  прорычать
рябить  зарябить
рябиться  зарябиться
рявкать  рявкнуть
рядиться  обрядиться
саботировать  просаботировать
саботироваться  просаботироваться
садиться на землю  сесть на землю
садиться1  сесть1
садиться2  сесть2
садиться4  сесть4
саднить  засаднить
сажать1  посадить1
сажать2  посадить2
сажать3  посадить3
сажать4  посадить4
салить  засалить
салютовать  отсалютовать
самоорганизовываться  самоорганизоваться
саморазгружаться  саморазгрузиться
самораспускаться  самораспуститься
самоуплотняться  самоуплотниться
самоутверждаться  самоутвердиться
сатанеть  осатанеть
сатурировать  отсатурировать
сатурироваться  отсатурироваться
сахарить  посахарить
сахариться  засахариться
сачковать  просачковать
сбавлять  сбавить
сбавляться  сбавиться
сбагривать  сбагрить
сберегать  сберечь
сберегаться  сберечься
сбивать  сбить
сбиваться  сбиться1
сближать  сблизить
сближаться  сблизиться
сбрасывать  сбросить
сбрасываться  сброситься
сбредать  сбрести
сбривать  сбрить
сбриваться  сбриться
сбрызгивать  сбрызнуть
сбрызгиваться  сбрызнуться
сбывать  сбыть
сбываться  сбыться
сваливаться  свалиться
сваривать  сварить1
сваривать  сварить2
сватать  сосватать
свататься  посвататься
свербеть  засвербеть
свергать  свергнуть
сверкать  сверкнуть
сверлить  просверлить
сверлиться  просверлиться
свертывать  свернуть
свертываться  свернуться
свершать  свершить
свершаться  свершиться
сверять  сверить
сверяться  свериться
светить  осветить2
светлеть  посветлеть
светлеть  просветлеть
свешиваться  свеситься
свивать  свить
свиваться  свиться
свидетельствовать  засвидетельствовать
свинчивать  свинтить
свинчиваться  свинтиться
свирепеть  рассвирепеть
свистеть  просвистеть
свистеть  свиснуть1
сводить4  свести4
сводить4  свести6
сводить6  свести4
сводить6  свести6
сводиться  свестись
свозить  свезти
сволакивать  сволочь
сворачивать  свернуть
сворачивать  своротить
сворачиваться  свернуться
свыкаться  свыкнуться
связывать  связать
связываться  связаться
святить  освятить
святиться  освятиться
сгибать  согнуть
сгибаться  согнуться
сглаживать  сгладить
сглаживаться  сгладиться
сглатывать  сглотнуть
сгнивать  сгнить
сговариваться  сговориться
сгонять  согнать
сгорать  сгореть
сгребать  сгрести
сгребаться  сгрестись
сгружать  сгрузить
сгружаться  сгрузиться
сгруживать  сгрудить
сгруживаться  сгрудиться
сгущать  сгустить
сгущаться  сгуститься
сдабривать  сдобрить
сдабриваться  сдобриться
сдавать  сдать2
сдавать  сдать3
сдаваться  сдаться
сдавливать  сдавить
сдавливаться  сдавиться
сдаивать  сдоить
сдваивать  сдвоить
сдваиваться  сдвоиться
сдвигать  сдвинуть
сдвигаться  сдвинуться
сдергивать  сдернуть
сдергиваться  сдернуться
сдерживать  сдержать
сдерживаться  сдержаться
сдирать  содрать
сдираться  содраться
сдружать  сдружить
сдружаться  сдружиться
сдрючивать  сдрючить
сдувать  сдуть
сдуваться  сдуться
сегментировать  просегментировать
седеть  поседеть
седлать  оседлать
секвенировать  просеквенировать
секретить  засекретить
секретиться  засекретиться
секционировать  просекционировать
секционироваться  просекционироваться
селектировать  отселектировать
селектироваться  отселектироваться
селекционировать  отселекционировать
селить  поселить
селиться  заселиться
селиться  поселиться
сепарировать  отсепарировать
сепарироваться  отсепарироваться
сервировать  отсервировать
сердить  рассердить
сердиться  рассердиться
серебрить  посеребрить
серебриться  посеребриться
сереть  посереть
серчать  осерчать
серьезнеть  посерьезнеть
сетовать  посетовать
сечь  посечь
сечься  посечься
сеять  посеять
сеяться  посеяться
сживать  сжить
сживаться  сжиться
сжигать  сжечь
сжимать  сжать1
сжиматься  сжаться
сигать  сигануть
сигнализировать  просигнализировать
сигнализироваться  просигнализироваться
сигналить  посигналить
сидеть1  посидеть
силосовать  засилосовать
синеть  посинеть
синить  засинить
синхронизировать  засинхронизировать
синхронизироваться  засинхронизироваться
сипеть  засипеть
систематизировать  просистематизировать
сиять  засиять
сказывать  сказать
сказываться  сказаться
скакать  поскакать
скакать  проскакать
скакать  скакнуть
скалить  оскалить
скалиться  оскалиться
скалывать  сколоть
скалываться  сколоться
скандалить  наскандалить
скандалить  поскандалить
сканировать  просканировать
сканироваться  просканироваться
скапливать  скопить
скапливаться  скопиться
скармливать  скормить
скармливаться  скормиться
скатывать  скатать
скатывать  скатить
скатываться  скатиться
скачивать  скачать
скачиваться  скачаться
скашивать  скосить
скашиваться  скоситься
сквозить  просквозить
скидывать  скинуть
скидываться  скинуться
скирдовать  заскирдовать
скисать  скиснуть
складывать  сложить
складываться  сложиться
склевывать  склевать
склеивать  склеить
склеиваться  склеиться
склерозивать  засклерозивать
склонять1  склонить
склоняться1  склониться
скоблить  отскоблить
скоблиться  отскоблиться
сковывать  сковать
сковыривать  сковырнуть
сколачивать  сколотить
сколачиваться  сколотиться
скользить  заскользить
скользить  скользнуть
скрабировать  отскрабировать
скрабироваться  отскрабироваться
скрадывать  скрасть
скрашивать  скрасить
скрашиваться  скраситься
скрежетать  заскрежетать
скреплять  скрепить
скрепляться  скрепиться
скрести  выскрести
скрестись  поскрестись
скрещивать  скрестить
скрещиваться  скреститься
скрипеть  заскрипеть
скрипеть  скрипнуть
скромничать  поскромничать
скручивать  скрутить
скручиваться  скрутиться
скрывать  скрыть
скрываться  скрыться
скрючивать  скрючить
скрючиваться  скрючиться
скудеть  оскудеть
скукоживать  скукожить
скукоживаться  скукожиться
скупать  скупить
скупиться  поскупиться
скучать  заскучать
слабеть  ослабеть
слабнуть  ослабнуть
слабнуть  расслабнуть
славить  прославить
славиться  прославиться
слагать  сложить
слагаться  сложиться
слаживать  сладить
слаживаться  сладиться
сластить  посластить
сластиться  посластиться
слать  послать1
слать  прислать
следить  проследить
следовать1  последовать
слезать  слезть
слепить2  ослепить
слеплять  слепить1
слепнуть  ослепнуть
слетать  слететь
слетаться  слететься
сливать1  слить1
сливать2  слить2
сливаться  слиться
слизывать  слизать
сличать  сличить
сличаться  сличиться
служить  послужить
служить  прослужить
случать  случить
случаться  случиться
слушать  выслушать
слушаться  послушаться
слыть  прослыть
слыхать  услыхать
слышать  расслышать
слышать  услышать
слышаться  послышаться
слюнить  послюнить
слюнявить  послюнявить
смазывать  смазать
смазываться  смазаться
смаривать  сморить
смариваться  смориться
смарывать  смарать
сматывать  смотать
сматываться  смотаться
смахивать  смахнуть
смахиваться  смахнуться
смачивать  смочить
смачиваться  смочиться
смелеть  осмелеть
сменяться  смениться
смерзаться  смерзнуться
сметать  смести
сметь  посметь
смешивать  смешать
смешиваться  смешаться1
смешить  рассмешить
смещать1  сместить1
смещать2  сместить2
смещаться  сместиться
смеяться  засмеяться
сминать  смять
сминаться  смяться
смирять  смирить
смиряться  смириться
смокать  смокнуть
смолачивать  смолотить
смолить  просмолить
смолиться  просмолиться
смолкать  смолкнуть
смонстрячивать  смонстрячить
сморкать  высморкать
сморкать  сморкнуть
сморкаться  высморкаться
сморкаться  сморкнуться
сморщивать  сморщить
сморщиваться  сморщиться
смотреть  посмотреть
смущать  смутить
смущаться  смутиться
смывать  смыть
смываться  смыться
смыкать  сомкнуть
смыкаться  сомкнуться
смыливать  смылить
смыливаться  смылиться
смыслить  осмыслить
смягчать  смягчить
смягчаться  смягчиться
смякать  смякнуть
снабжать  снабдить
снабжаться  снабдиться
снаряжать  снарядить
снаряжаться  снарядиться
снашивать  сносить4
снежить  заснежить
снижать  снизить
снижаться  снизиться
сникать  сникнуть
снимать1  поснимать
снимать1  снять1
снимать2  снять2
снимать3  снять3
снимать4  снять4
сниматься  сняться
снискивать  снискать
снисходить  снизойти
сниться  присниться
сновать  засновать
сносить1  снести1
сносить2  снести2
сносить3  снести3
сноситься2  снестись
снюхиваться  снюхаться
снять1  поснять
снять3  заснять
собеседовать  пособеседовать
собирать  собрать
собираться  собраться1
собираться  собраться3
соблазнять  соблазнить
соблазняться  соблазниться
соблюдать  соблюсти
соболезновать  пособолезновать
совать  сунуть
соваться  сунуться
совершать  совершить
совершать забеги  совершить забег
совершать интервенцию  совершить интервенцию
совершать налет  совершить налет
совершать подвиги  совершить подвиг
совершать преступление  совершить преступление
совершать проступки  совершить проступок
совершать революцию  совершить революцию
совершать сделку  совершить сделку
совершать теракты  совершить теракт
совершаться  совершиться
совершенствовать  усовершенствовать
совершенствоваться  усовершенствоваться
совестить  усовестить
совеститься  посовеститься
советовать  посоветовать
советоваться  посоветоваться
совещаться  посовещаться
совмещать  совместить
совмещаться  совместиться
совпадать  совпасть
совращать  совратить
совращаться  совратиться
согласовывать  согласовать
согласовываться  согласоваться
соглашаться  согласиться
согревать  согреть
согреваться  согреться
согрешать  согрешить
содевать  содеять
содействовать  посодействовать
соединять  соединить
соединяться  соединиться
сожалеть  посожалеть
созваниваться  созвониться
создавать  создать
создавать помехи  создать помеху
создаваться  создаться
созидать  создать
сознавать  осознать
сознавать  сознать
сознаваться  осознаваться
сознаваться  сознаться
созревать  созреть
созывать  созвать
созываться  созваться
соизмерять  соизмерить
соизмеряться  соизмериться
сокращать1  сократить1
сокращать2  сократить2
сокращаться  сократиться
сокрушать  сокрушить
сокрушаться  посокрушаться
солить  посолить
соловеть  посоловеть
сомневаться  засомневаться
сомневаться  усомниться
соображать  сообразить
сообщать  сообщить
сооружать  соорудить
сооружаться  соорудиться
соотносить  соотнести
соотноситься  соотнестись
сопеть  посопеть
сопоставлять  сопоставить
сопоставляться  сопоставиться
сопревать  сопреть
соприкасаться  соприкоснуться
сопровождать  сопроводить
сопровождаться  сопроводиться
сопрягать  сопрячь
соревноваться  посоревноваться
сорить  насорить
сортировать  отсортировать
сортировать  рассортировать
сортироваться  отсортироваться
сосать  высосать
соскабливать  соскоблить
соскабливаться  соскоблиться
соскучиваться  соскучиться
сосредотачиваться  сосредоточиться
сосредоточивать  сосредоточить
сосредоточиваться  сосредоточиться
составлять1  составить1
составлять2  составить2
составляться  составиться
состригать  состричь
состригаться  состричься
состыковывать  состыковать
состыковываться  состыковаться
сотворять  сотворить
сотрудничать  посотрудничать
сохнуть  высохнуть
сохранять  сохранить
сохраняться  сохраниться
сочинять  сочинить
сочинять композиции  сочинить композицию
сочиняться  сочиниться
сочленять  сочленить
сочленяться  сочлениться
сочувствовать  посочувствовать
сощуривать  сощурить
сощуриваться  сощуриться
спадать  спасть
спаивать1  споить
спаивать2  спаять
спаиваться  спаяться
спаривать1  спарить1
спариваться  спариться
спарывать  спороть
спасать  спасти
спасаться  спастись
спекать  спечь
спекаться  спечься
спеть1  поспеть1
специализироваться  проспециализироваться
спешить  заспешить
спешить  поспешить
спиваться  спиться
спиливать  спилить
списывать  списать1
списываться  списаться
сплавлять  сплавить
сплавляться  сплавиться
сплачивать  сплотить
сплачиваться  сплотиться
сплетать  сплести
сплетаться  сплестись
сплетничать  посплетничать
сплющивать  сплющить
сплющиваться  сплющиться
сподвигать  сподвигнуть
сподвигаться  сподвигнуться
споласкивать  сполоснуть
споласкиваться  сполоснуться
сползать  сползти
сползаться  сползтись
спорить  поспорить
способствовать  поспособствовать
спотыкаться  споткнуться
справлять  справить
справляться1  справиться1
справляться2  справиться2
спрашивать  спросить
спрашиваться  расспрашиваться
спрессовывать  спрессовать
спрессовываться  спрессоваться
спрыгивать  спрыгнуть
спрыскивать  спрыснуть
спрыскиваться  спрыснуться
спрягать  проспрягать
спрягаться  проспрягаться
спрямлять  спрямить
спрямляться  спрямиться
спускать  спустить
спускаться  спуститься
спутывать  спутать
спутываться  спутаться
срабатывать  сработать
срабатываться  сработаться
сравнивать1  сравнить
сравнивать2  сравнять
сравниваться  сравниться
сражаться  сразиться
срамить  осрамить
срамиться  осрамиться
срастаться  срастись
сращивать  срастить
сращиваться  сраститься
срезать2  срезать1
срисовывать  срисовать
срисовываться  срисоваться
срубать  срубить
срывать1  сорвать1
срывать2  сорвать2
срыгивать  срыгнуть
ссаживать  ссадить
ссать  поссать
ссорить  поссорить
ссориться  поссориться
ссужать  ссудить
ссуживать  ссудить
ссуживаться  ссужаться
ссутуливать  ссутулить
ссутуливаться  ссутулиться
ссучиваться  ссучиться
ссылать  сослать
ссылаться  сослаться
ссыпать2  ссыпать1
стабилизировать  застабилизировать
стабилизироваться  застабилизироваться
ставить  поставить2
ставить  проставить
стажироваться  постажироваться
сталкивать  столкнуть
сталкиваться  столкнуться
становиться  стать
стаптывать  стоптать
стаптываться  стоптаться
стараться  постараться
стараться  расстараться
стареть  постареть
старить  состарить
стариться  состариться
стаскивать  стащить
стаскиваться  стащиться
стачивать  сточить
стачиваться  сточиться
стебаться  постебаться
стегать  стегануть
стегать  стегнуть
стегаться  стегнуться
стекать  стечь
стекленеть  остекленеть
стелить  настелить
стелить  постелить
стелиться  постелиться
стелиться  расстелиться
стелиться  устелиться
стерилизовать  простерилизовать
стерилизоваться  простерилизоваться
стеснять  стеснить
стесняться  застесняться
стесняться  постесняться
стесывать  стесать
стесываться  стесаться
стимулировать  простимулировать
стимулироваться  простимулироваться
стирать1  выстирать
стирать1  отстирать
стирать1  перестирать
стирать1  постирать
стирать1  простирать1
стирать2  стереть
стираться  выстираться
стираться  отстираться
стираться  перестираться
стираться  постираться
стираться  простираться1
стираться  стереться
стискивать  стиснуть
стискиваться  стиснуться
стихать  стихнуть
стлать  постлать
стонать  застонать
стопорить  застопорить
стопориться  застопориться
сторожить  посторожить
стравливать  стравить
стравливаться  стравиться
страдать  пострадать
страховать  застраховать
страховать автотранспорт  застраховать автотранспорт
страховаться  застраховаться
страховаться  перестраховаться
страшить  устрашить
страшиться  устрашиться
стращать  застращать
стрекотать  застрекотать
стрелять  обстрелять
стрелять  стрельнуть
стремиться  устремиться
стричь  подстричь
стричь  постричь
стричься  остричься
стричься  подстричься
стричься  постричься
стробировать  простробировать
строгать  построгать
строгать  сострогать
строить  построить
строиться  построиться
строчить  прострочить
струиться  заструиться
структурировать  отструктурировать
стряпать  настряпать
стряпать  состряпать
стряхивать  стряхнуть
стряхиваться  стряхнуться
студить  выстудить
студиться  выстудиться
стукаться  стукнуться
ступать  ступить
стучать1  постучать
стучать1  стукнуть1
стучаться  постучаться
стучаться  стукнуться
стыдить  застыдить
стыдиться  застыдиться
стыковать  пристыковать
стыковаться  пристыковаться
стынуть  остынуть
стынуть  остыть
стыть  застыть
стыть  остыть
стыть  простыть
стягивать  стянуть
стягиваться  стянуться
сублимировать  посублимировать
субсидировать  просубсидировать
субсидироваться  просубсидироваться
судить1  рассудить
судить2  осудить
судиться  отсудиться
суетиться  засуетиться
сужать  сузить
сужаться  сузиться
суживать  сузить
суживаться  сузиться
сулить  посулить
суммировать  просуммировать
суммироваться  просуммироваться
сунуть  всунуть
сунуть  засунуть
супить  насупить
супиться  насупиться
сурьмить  насурьмить
сутулить  ссутулить
сутулиться  ссутулиться
сутяжничать  посутяжничать
сучить  засучить
сушить  высушить
сушиться  высушиться
существовать  просуществовать
схватывать1  схватить1
сходить1  сойти
сходиться  сойтись
сцеживать  сцедить
сцеживаться  сцедиться
сцеплять  сцепить
сцепляться  сцепиться
считать2  подсчитать
считать2  посчитать
считать2  сосчитать
считаться  посчитаться
считывать  считать3
счищать  счистить
счищаться  счиститься
сшибать  посшибать
сшибать  сшибить
сшивать  сшить
сшиваться  сшиться
съедать  съесть
съедаться  съесться
съеживать  съежить
съеживаться  съежиться
съезжать  съехать
съезжаться  съехаться
сыпаться  просыпаться
сыреть  отсыреть
сэконамливать  сэкономить
сюсюкать  посюсюкать
сюсюкаться  посюсюкаться
табанить  потабанить
таить  затаить
таиться  притаиться
танцевать  станцевать
таращить  вытаращить
таращиться  вытаращиться
таскать  потаскать
таскаться  потаскаться
тасовать  перетасовать
тасоваться  перетасоваться
таять  растаять
твердеть  отвердеть
творить  сотворить
темнеть  потемнеть
темнеть  стемнеть
теоретизировать  протеоретизировать
теплеть  потеплеть
теребить  потеребить
тереть  потереть
тереться  потереться
терзать  растерзать
терзаться  истерзаться
терпеть  вытерпеть
терпеть  потерпеть
терроризировать  затерроризировать
терять  потерять
теряться  потеряться
теряться  растеряться
тесать  обтесать
теснить  потеснить
тесниться  потесниться
тестировать  протестировать
тестироваться  протестироваться
течь  потечь
течь  стечь
тешить  потешить
тешиться  потешиться
тибрить  стибрить
тикать  затикать
тикать  тикнуть
тиражировать  растиражировать
тиражироваться  растиражироваться
тискать  затискать
ткать  соткать
тлеть  сотлеть
толкать  толкнуть
толкаться  толкнуться
толковать  истолковать
толковать  растолковать
толковаться  растолковаться
толочь  истолочь
толочь  растолочь
толочься  растолочься
толпиться  столпиться
толстеть  потолстеть
толстеть  растолстеть
томить  истомить
томить  утомить
томиться  утомиться
тонуть  утонуть
топать  затопать
топить1  затопить1
топить1  истопить
топить1  растопить1
топить3  потопить2
топить3  утопить
топиться  протопиться
топтать  утоптать
топтаться  потоптаться
торговать  поторговать
торговаться  поторговаться
торжествовать  восторжествовать
тормозить  затормозить
тормозить  тормознуть
тормозиться  затормозиться
торопить  поторопить
торопиться  заторопиться
торопиться  поторопиться
торчать  проторчать
тосковать  затосковать
точить  наточить
точиться  наточиться
точиться  сточиться
тошнить  вытошнить
тошнить  затошнить
тошнить  стошнить
тощать  потощать
травить1  затравить
травиться  отравиться
трактовать  истрактовать
тралить  протралить
трамбовать  утрамбовать
трамбоваться  утрамбоваться
транжирить  растранжирить
транжириться  растранжириться
транспортировать  оттранспортировать
тратить  истратить
тратить  потратить
тратиться  потратиться
требовать  потребовать
требоваться  потребоваться
тревожить  встревожить
тревожить  потревожить
тревожиться  встревожиться
тревожиться  перетревожиться
тревожиться  потревожиться
трезветь  отрезветь
трезветь  потрезветь
трезветь  протрезветь
трезвонить  затрезвонить
тренировать  натренировать
тренироваться  натренироваться
тренироваться  потренироваться
трепать  истрепать
трепать  потрепать
трепать  растрепать1
трепаться  истрепаться
трепаться  потрепаться
трепаться  растрепаться
трепетать  затрепетать
трескаться  потрескаться
трескаться  растрескаться
трещать  затрещать
трогать1  потрогать
трогать1  тронуть1
трогать2  растрогать
трогать2  тронуть2
трогаться  тронуться
троллить  затроллить
троллить  потроллить
тронуть2  затронуть
трубить  протрубить
трудиться  потрудиться
трусить1  перетрусить
трусить1  струсить
трусить2  затрусить
трясти  потрясти
трястись  затрястись
тужить  потужить
тужиться  натужиться
туманить  затуманить
тупеть  отупеть
тупить  затупить
тупиться  затупиться
тускнеть  потускнеть
тусоваться  потусоваться
тухнуть  затухнуть
тухнуть  потухнуть
тухнуть  протухнуть
тушевать  затушевать
тушеваться  стушеваться
тушить1  потушить1
тушить2  потушить2
тушиться  протушиться
тыкать  ткнуть
тыкаться  тыкнуться
тырить  стырить
тюкать  тюкнуть
тюкаться  тюкнуться
тявкать  тявкнуть
тянуть  потянуть
тянуться  потянуться
тяпать  тяпнуть
убавлять  убавить
убавляться  убавиться
убаюкивать  убаюкать
убаюкиваться  убаюкаться
убегать  убежать
убеждать  убедить
убеждаться  убедиться
убелять  убелить
уберегать  уберечь
уберегаться  уберечься
убивать  убить
убиваться  убиться
убирать  убрать
убираться  убраться
ублаготворять  ублаготворить
ублаготворяться  ублаготвориться
ублажать  ублажить
ублажаться  ублажиться
убывать  убыть
убыстрять  убыстрить
убыстряться  убыстриться
уведомлять  уведомить
уведомляться  уведомиться
увековечивать  увековечить
увековечиваться  увековечиться
увеличивать  увеличить
увеличиваться  увеличиться
увенчивать  увенчать
увенчиваться  увенчаться
уверять  уверить
уверяться  увериться
увеселять  увеселить
увечить  изувечить
увечиться  изувечиться
увешивать  увешать
увешиваться  увешаться
увивать  увить
увлажнять  увлажнить
увлажняться  увлажниться
увлекать  увлечь
увлекаться  увлечься
уводить  увести
увозить  увезти
уволакивать  уволочь
увольнять  уволить
увольняться  уволиться
увядать  увянуть
увязывать  увязать1
увязываться  увязаться
увять  увянуть
угадывать  угадать
угадываться  угадаться
угасать  угаснуть
угашать  угасить
углублять  углубить
углубляться  углубиться
угнетать  угнести
уговаривать  уговорить
уговариваться  уговориться
угождать  угодить
угонять  угнать
угощать  угостить
угощаться  угоститься
угрожать  заугрожать
угрожать  угрозить
удаваться  удаться
удалять  удалить
удаляться  удалиться
ударять  ударить
ударяться  удариться
удваивать  удвоить
удваиваться  удвоиться
уделять  уделить
уделять внимание  уделить внимание
удерживать  удержать
удерживаться  удержаться
удешевлять  удешевить
удешевляться  удешевиться
удивлять  удивить
удивляться  удивиться
удирать  удрать
удлинять  удлинить
удлиняться  удлиниться
удобрять  удобрить
удовлетворять  удовлетворить
удовлетворяться  удовлетвориться
удорожать  удорожить
удорожаться  удорожиться
удостаивать  удостоить
удостаиваться  удостоиться
удостоверять  удостоверить
удостоверяться  удостовериться
удручать  удручить
удручаться  удручиться
уединять  уединить
уединяться  уединиться
уезжать  уехать
ужасать  ужаснуть
ужасаться  ужаснуться
ужесточать  ужесточить
ужесточаться  ужесточиться
уживаться  ужиться
ужимать  ужать
ужиматься  ужаться
ужинать  поужинать
узаконивать  узаконить
узакониваться  узакониться
узнавать  узнать
указывать  указать
укалывать  уколоть
укалываться  уколоться
укатывать  укатать
укатывать  укатить
укачивать  укачать
укачиваться  укачаться
укладывать  уложить
укладываться  уложиться
уклоняться  уклониться
укорачивать  укоротить
укорачиваться  укоротиться
укоренять  укоренить
укореняться  укорениться
укорять  укорить
украсить  приукрасить
украшать  приукрашать
украшать  украсить
украшаться  украситься
укреплять  укрепить
укрепляться  укрепиться
укрощать  укротить
укрощаться  укротиться
укрупнять  укрупнить
укрупняться  укрупниться
укрывать  укрыть
укрываться  укрыться
укупоривать  укупорить
укупориваться  укупориться
укутывать  укутать
укутываться  укутаться
улавливать  уловить
улавливаться  уловиться
улаживать  уладить
улаживаться  уладиться
уламывать  уломать
уламываться  уломаться
улетать  улететь
улетучиваться  улетучиться
уличать  уличить
уличаться  уличиться
улучать  улучить
улучшать  улучшить
улучшаться  улучшиться
улыбаться  заулыбаться
улыбаться  улыбнуться
умалчивать  умолчать
умалять  умалить
умасливать  умаслить
умасливаться  умаслиться
умащать  умастить
умащаться  умаститься
уменьшать  уменьшить
уменьшаться  приуменьшаться
уменьшаться  уменьшиться
уменьшиться  приуменьшиться
