PerfectForm,InitialForm
расстелить,расстилать
расстелиться,расстилаться
расстроить,расстраивать
расстроиться,расстраиваться
расстрелять,расстреливать
расступиться,расступаться
рассудить,рассуждать
рассчитать,рассчитывать
рассчитаться,рассчитываться
разослать,рассылать
рассыпать,рассыпать
рассыпаться,рассыпаться
рассохнуться,рассыхаться
растаять,растаивать
растолкать,расталкивать
растолкаться,расталкиваться
растаможить,растаможивать
растаможиться,растаможиваться
растопить,растапливать
растаскать,растаскивать
растащить,растаскивать
растащиться,растаскиваться
растасовать,растасовывать
растасоваться,растасовываться
расточить,растачивать
растворить,растворять
раствориться,растворяться
растечься,растекаться
растереть,растирать
растереться,растираться
растлить,растлевать
растлиться,растлеваться
растолковать,растолковывать
растолковаться,растолковываться
растопырить,растопыривать
растопыриться,растопыриваться
расторгнуть,расторгать
расторгнуться,расторгаться
растрогать,растрагивать
растрогаться,растрагиваться
растранжирить,растранжиривать
растранжириться,растранжириваться
растратить,растрачивать
растратиться,растрачиваться
растрепать,растрепывать
растрепаться,растрепываться
растрескать,растрескивать
растрескаться,растрескиваться
растянуть,растягивать
растянуться,растягиваться
расфасовать,расфасовывать
расфасоваться,расфасовываться
расформировать,расформировывать
расформироваться,расформировываться
расхвалить,расхваливать
расхвалиться,расхваливаться
расхвастаться,расхвастываться
расхватать,расхватывать
расхвататься,расхватываться
расхитить,расхищать
расхититься,расхищаться
расхлебать,расхлебывать
расхныкаться,расхныкиваться
разойтись,расходиться
израсходовать,расходовать
израсходоваться,расходоваться
расхолодить,расхолаживать
расцарапать,расцарапывать
расцарапаться,расцарапываться
расцвести,расцветать
расценить,расценивать
расцениться,расцениваться
расцепить,расцеплять
расцепиться,расцепляться
расчесать,расчесывать
расчесаться,расчесываться
расчехлить,расчехлять
расчехлиться,расчехляться
расчистить,расчищать
расчиститься,расчищаться
расчленить,расчленять
расчлениться,расчленяться
расчухать,расчухивать
расчухаться,расчухиваться
расшаркаться,расшаркиваться
расшатать,расшатывать
расшататься,расшатываться
расшвырять,расшвыривать
расшевелить,расшевеливать
расшевелиться,расшевеливаться
расшибить,расшибать
расшибиться,расшибаться
расшить,расшивать
расшиться,расшиваться
расширить,расширять
расшириться,расширяться
расшифровать,расшифровывать
расшифроваться,расшифровываться
расщепить,расщеплять
расщепиться,расщепляться
изорвать,рвать
изорваться,рваться
порваться,рваться
отреагировать,реагировать
прореагировать,реагировать
среагировать,реагировать
реализовать,реализовывать
реализоваться,реализовываться
приревновать,ревновать
зарегистрировать,регистрировать
зарегистрироваться,регистрироваться
зарегламентировать,регламентировать
зарегламентироваться,регламентироваться
отрегулировать,регулировать
урегулировать,регулировать
отрегулироваться,регулироваться
урегулироваться,регулироваться
урегуляризировать,регуляризировать
отредактировать,редактировать
отредактироваться,редактироваться
поредеть,редеть
отрежиссировать,режиссировать
отрежиссироваться,режиссироваться
изрезать,резать
нарезать,резать
отрезать,резать
порезать,резать
разрезать,резать
прорезаться,резаться
зарезервировать,резервировать
зарезервироваться,резервироваться
прорезюмировать,резюмировать
отрейтинговать,рейтинговать
разрекламировать,рекламировать
разрекламироваться,рекламироваться
отрекомендовать,рекомендовать
порекомендовать,рекомендовать
порекомендоваться,рекомендоваться
отремонтировать,ремонтировать
подремонтировать,ремонтировать
отремонтироваться,ремонтироваться
подремонтироваться,ремонтироваться
реорганизовать,реорганизовывать
реорганизоваться,реорганизовываться
отрепетировать,репетировать
отрепетироваться,репетироваться
отреставрировать,реставрировать
отреставрироваться,реставрироваться
отретироваться,ретироваться
отреферировать,реферировать
отреферироваться,реферироваться
отреформировать,реформировать
отреформироваться,реформироваться
отрецензировать,рецензировать
прорецензировать,рецензировать
прорецензироваться,рецензироваться
решить,решать
заржаветь,ржаветь
заржать,ржать
нарисовать,рисовать
нарисоваться,рисоваться
оробеть,робеть
ороговеть,роговеть
породнить,роднить
сроднить,роднить
породниться,родниться
родить,рожать
нарождаться,рождаться
родиться,рождаться
порозоветь,розоветь
отроиться,роиться
зарокотать,рокотать
уронить,ронять
зароптать,роптать
поротозействовать,ротозействовать
отрубить,рубить
срубить,рубить
прорубрицировать,рубрицировать
прорубрицироваться,рубрицироваться
выругать,ругать
ругнуть,ругать
выругаться,ругаться
ругнуться,ругаться
поруководить,руководить
зарумянить,румянить
рухнуть,рушиться
порыбачить,рыбачить
рыгнуть,рыгать
зарыдать,рыдать
рыкнуть,рыкать
вырыть,рыть
зарычать,рычать
прорычать,рычать
зарябить,рябить
зарябиться,рябиться
рявкнуть,рявкать
просаботировать,саботировать
просаботироваться,саботироваться
сесть,садиться
засаднить,саднить
посадить,сажать
отсалютовать,салютовать
самоорганизоваться,самоорганизовываться
саморазгрузиться,саморазгружаться
самораспуститься,самораспускаться
самоуплотниться,самоуплотняться
самоутвердиться,самоутверждаться
осатанеть,сатанеть
отсатурировать,сатурировать
отсатурироваться,сатурироваться
посахарить,сахарить
просачковать,сачковать
сбавить,сбавлять
сбавиться,сбавляться
сбагрить,сбагривать
сберечься,сберегаться
сбить,сбивать
сбиться,сбиваться
сблизить,сближать
сблизиться,сближаться
сбросить,сбрасывать
сброситься,сбрасываться
сбрести,сбредать
сбрить,сбривать
сбриться,сбриваться
сбрызнуть,сбрызгивать
сбрызнуться,сбрызгиваться
сбыть,сбывать
сбыться,сбываться
свалиться,сваливаться
сосватать,сватать
посвататься,свататься
засвербеть,свербеть
свергнуть,свергать
сверкнуть,сверкать
свернуть,свертывать
свернуться,свертываться
свершить,свершать
свершиться,свершаться
сверить,сверять
свериться,сверяться
посветлеть,светлеть
просветлеть,светлеть
свеситься,свешиваться
засвидетельствовать,свидетельствовать
свинтить,свинчивать
свинтиться,свинчиваться
рассвирепеть,свирепеть
свиснуть,свистеть
свести,сводить
свестись,сводиться
свезти,свозить
сволочь,сволакивать
своротить,сворачивать
свыкнуться,свыкаться
связаться,связываться
сгладить,сглаживать
сглотнуть,сглатывать
сговориться,сговариваться
согнать,сгонять
сгрестись,сгребаться
сгрузить,сгружать
сгрузиться,сгружаться
сгрудить,сгруживать
сгрудиться,сгруживаться
сгустить,сгущать
сгуститься,сгущаться
сдобрить,сдабривать
сдобриться,сдабриваться
сдать,сдавать
сдаться,сдаваться
сдавиться,сдавливаться
сдоить,сдаивать
сдвоить,сдваивать
сдвоиться,сдваиваться
сдвинуть,сдвигать
сдвинуться,сдвигаться
сдернуть,сдергивать
сдернуться,сдергиваться
сдержать,сдерживать
содраться,сдираться
сдружить,сдружать
сдружиться,сдружаться
сдрючить,сдрючивать
сдуть,сдувать
сдуться,сдуваться
просегментировать,сегментировать
поседеть,седеть
просеквенировать,секвенировать
просекционировать,секционировать
просекционироваться,секционироваться
отселектировать,селектировать
отселектироваться,селектироваться
отселекционировать,селекционировать
отсепарировать,сепарировать
отсепарироваться,сепарироваться
отсервировать,сервировать
рассердить,сердить
рассердиться,сердиться
посеребрить,серебрить
посеребриться,серебриться
посереть,сереть
осерчать,серчать
посерьезнеть,серьезнеть
посетовать,сетовать
посечь,сечь
посечься,сечься
посеять,сеять
посеяться,сеяться
сжить,сживать
сжиться,сживаться
сжаться,сжиматься
сигануть,сигать
просигнализировать,сигнализировать
просигнализироваться,сигнализироваться
посигналить,сигналить
посидеть,сидеть
засилосовать,силосовать
посинеть,синеть
засинхронизировать,синхронизировать
засинхронизироваться,синхронизироваться
засипеть,сипеть
просистематизировать,систематизировать
засиять,сиять
поскакать,скакать
проскакать,скакать
скакнуть,скакать
сколоть,скалывать
сколоться,скалываться
наскандалить,скандалить
поскандалить,скандалить
просканировать,сканировать
просканироваться,сканироваться
скормить,скармливать
скормиться,скармливаться
скатать,скатывать
скатить,скатывать
скатиться,скатываться
скачаться,скачиваться
скоситься,скашиваться
просквозить,сквозить
скинуть,скидывать
скинуться,скидываться
заскирдовать,скирдовать
сложить,складывать
сложиться,складываться
склевать,склевывать
засклерозивать,склерозивать
склониться,склоняться
сковырнуть,сковыривать
сколотить,сколачивать
сколотиться,сколачиваться
заскользить,скользить
скользнуть,скользить
отскрабировать,скрабировать
отскрабироваться,скрабироваться
скрасть,скрадывать
скрасить,скрашивать
скраситься,скрашиваться
заскрежетать,скрежетать
скрепить,скреплять
скрепиться,скрепляться
выскрести,скрести
поскрестись,скрестись
скрестить,скрещивать
скреститься,скрещиваться
заскрипеть,скрипеть
скрипнуть,скрипеть
поскромничать,скромничать
скрутиться,скручиваться
скрыть,скрывать
скрыться,скрываться
скукожить,скукоживать
скукожиться,скукоживаться
скупить,скупать
поскупиться,скупиться
заскучать,скучать
сладить,слаживать
сладиться,слаживаться
посластить,сластить
посластиться,сластиться
последовать,следовать
слезть,слезать
слепить,слеплять
ослепнуть,слепнуть
слететь,слетать
слететься,слетаться
слить,сливать
слиться,сливаться
слизать,слизывать
сличить,сличать
сличиться,сличаться
послужить,служить
прослужить,служить
случить,случать
случиться,случаться
послушаться,слушаться
прослыть,слыть
услыхать,слыхать
расслышать,слышать
услышать,слышать
послышаться,слышаться
послюнить,слюнить
послюнявить,слюнявить
смазать,смазывать
смазаться,смазываться
сморить,смаривать
смориться,смариваться
смарать,смарывать
смотать,сматывать
смотаться,сматываться
смахнуть,смахивать
смахнуться,смахиваться
смочить,смачивать
смочиться,смачиваться
осмелеть,смелеть
смениться,сменяться
смерзнуться,смерзаться
смести,сметать
посметь,сметь
смешать,смешивать
смешаться,смешиваться
рассмешить,смешить
сместить,смещать
сместиться,смещаться
засмеяться,смеяться
смирить,смирять
смириться,смиряться
смокнуть,смокать
смолотить,смолачивать
просмолить,смолить
просмолиться,смолиться
смолкнуть,смолкать
смонстрячить,смонстрячивать
высморкать,сморкать
сморкнуть,сморкать
высморкаться,сморкаться
сморкнуться,сморкаться
смутить,смущать
смутиться,смущаться
смыть,смывать
смыться,смываться
сомкнуться,смыкаться
смылить,смыливать
смылиться,смыливаться
смягчить,смягчать
смягчиться,смягчаться
смякнуть,смякать
снабдить,снабжать
снабдиться,снабжаться
снарядить,снаряжать
снарядиться,снаряжаться
сносить,снашивать
заснежить,снежить
снизить,снижать
снизиться,снижаться
сникнуть,сникать
поснимать,снимать
снять,снимать
сняться,сниматься
снискать,снискивать
снизойти,снисходить
присниться,сниться
засновать,сновать
снести,сносить
снестись,сноситься
снюхаться,снюхиваться
заснять,снять
пособеседовать,собеседовать
собрать,собирать
собраться,собираться
соблазнить,соблазнять
соблазниться,соблазняться
пособолезновать,соболезновать
сунуться,соваться
совершить,совершать
забеги,совершать
совершиться,совершаться
усовершенствовать,совершенствовать
усовершенствоваться,совершенствоваться
усовестить,совестить
посовеститься,совеститься
посоветовать,советовать
посоветоваться,советоваться
посовещаться,совещаться
совместить,совмещать
совместиться,совмещаться
совпасть,совпадать
совратить,совращать
совратиться,совращаться
согласовать,согласовывать
согласоваться,согласовываться
согласиться,соглашаться
содеять,содевать
посодействовать,содействовать
соединить,соединять
соединиться,соединяться
посожалеть,сожалеть
созвониться,созваниваться
создать,создавать
создаться,создаваться
сознать,сознавать
осознаваться,сознаваться
сознаться,сознаваться
созвать,созывать
созваться,созываться
соизмерить,соизмерять
соизмериться,соизмеряться
сократить,сокращать
сократиться,сокращаться
посокрушаться,сокрушаться
посолить,солить
посоловеть,соловеть
засомневаться,сомневаться
усомниться,сомневаться
сообщить,сообщать
соорудить,сооружать
соорудиться,сооружаться
соотнести,соотносить
соотнестись,соотноситься
посопеть,сопеть
сопоставить,сопоставлять
сопоставиться,сопоставляться
соприкоснуться,соприкасаться
сопроводить,сопровождать
сопроводиться,сопровождаться
сопрячь,сопрягать
посоревноваться,соревноваться
насорить,сорить
отсортировать,сортировать
отсортироваться,сортироваться
соскоблить,соскабливать
соскоблиться,соскабливаться
соскучиться,соскучиваться
сосредоточиться,сосредотачиваться
сосредоточить,сосредоточивать
составиться,составляться
состричь,состригать
состричься,состригаться
состыковать,состыковывать
состыковаться,состыковываться
сотворить,сотворять
посотрудничать,сотрудничать
сохранить,сохранять
сохраниться,сохраняться
сочинить,сочинять
сочиниться,сочиняться
сочленить,сочленять
сочлениться,сочленяться
посочувствовать,сочувствовать
сощурить,сощуривать
сощуриться,сощуриваться
спасть,спадать
споить,спаивать
спарить,спаривать
спариться,спариваться
спороть,спарывать
спасти,спасать
спастись,спасаться
спечься,спекаться
проспециализироваться,специализироваться
заспешить,спешить
поспешить,спешить
спиться,спиваться
списать,списывать
списаться,списываться
сплавить,сплавлять
сплавиться,сплавляться
сплотить,сплачивать
сплотиться,сплачиваться
сплестись,сплетаться
посплетничать,сплетничать
сплющить,сплющивать
сплющиться,сплющиваться
сподвигнуть,сподвигать
сподвигнуться,сподвигаться
сполоснуть,споласкивать
сполоснуться,споласкиваться
сползти,сползать
сползтись,сползаться
поспорить,спорить
поспособствовать,способствовать
споткнуться,спотыкаться
справить,справлять
справиться,справляться
спросить,спрашивать
расспрашиваться,спрашиваться
спрыгнуть,спрыгивать
спрыснуть,спрыскивать
спрыснуться,спрыскиваться
проспрягать,спрягать
проспрягаться,спрягаться
спрямить,спрямлять
спрямиться,спрямляться
спустить,спускать
спуститься,спускаться
сработать,срабатывать
сработаться,срабатываться
сравнить,сравнивать
сравнять,сравнивать
сравниться,сравниваться
сразиться,сражаться
осрамить,срамить
осрамиться,срамиться
срастись,срастаться
срастить,сращивать
сраститься,сращиваться
срезать,срезать
срисовать,срисовывать
срисоваться,срисовываться
срыгнуть,срыгивать
ссадить,ссаживать
поссать,ссать
поссорить,ссорить
поссориться,ссориться
ссудить,ссужать
ссужаться,ссуживаться
ссутулить,ссутуливать
ссутулиться,ссутуливаться
ссучиться,ссучиваться
сослать,ссылать
сослаться,ссылаться
ссыпать,ссыпать
застабилизировать,стабилизировать
застабилизироваться,стабилизироваться
постажироваться,стажироваться
столкнуть,сталкивать
столкнуться,сталкиваться
стать,становиться
стоптать,стаптывать
стоптаться,стаптываться
постараться,стараться
расстараться,стараться
постареть,стареть
состарить,старить
состариться,стариться
стащить,стаскивать
стащиться,стаскиваться
сточить,стачивать
сточиться,стачиваться
постебаться,стебаться
стегануть,стегать
стегнуть,стегать
стегнуться,стегаться
стечь,стекать
остекленеть,стекленеть
постелиться,стелиться
устелиться,стелиться
простерилизовать,стерилизовать
простерилизоваться,стерилизоваться
стеснить,стеснять
застесняться,стесняться
постесняться,стесняться
стесать,стесывать
стесаться,стесываться
простимулировать,стимулировать
простимулироваться,стимулироваться
постирать,стирать
простирать,стирать
стереть,стирать
постираться,стираться
простираться,стираться
стереться,стираться
стиснуть,стискивать
стиснуться,стискиваться
стихнуть,стихать
постлать,стлать
застонать,стонать
посторожить,сторожить
стравить,стравливать
стравиться,стравливаться
пострадать,страдать
застраховать,страховать
застраховаться,страховаться
устрашить,страшить
устрашиться,страшиться
застращать,стращать
застрекотать,стрекотать
стрельнуть,стрелять
устремиться,стремиться
постричь,стричь
постричься,стричься
простробировать,стробировать
построгать,строгать
сострогать,строгать
построить,строить
построиться,строиться
прострочить,строчить
заструиться,струиться
отструктурировать,структурировать
состряпать,стряпать
стряхнуть,стряхивать
стряхнуться,стряхиваться
стукнуться,стукаться
ступить,ступать
постучать,стучать
стукнуть,стучать
постучаться,стучаться
застыдить,стыдить
застыдиться,стыдиться
стянуть,стягивать
стянуться,стягиваться
посублимировать,сублимировать
просубсидировать,субсидировать
просубсидироваться,субсидироваться
засуетиться,суетиться
сузить,сужать
сузиться,сужаться
посулить,сулить
просуммировать,суммировать
просуммироваться,суммироваться
всунуть,сунуть
засунуть,сунуть
насурьмить,сурьмить
посутяжничать,сутяжничать
просуществовать,существовать
схватить,схватывать
сойти,сходить
сойтись,сходиться
сцедить,сцеживать
сцедиться,сцеживаться
сцепить,сцеплять
сцепиться,сцепляться
посчитать,считать
сосчитать,считать
посчитаться,считаться
считать,считывать
счистить,счищать
счиститься,счищаться
посшибать,сшибать
сшибить,сшибать
сшить,сшивать
сшиться,сшиваться
съесться,съедаться
съежить,съеживать
съехать,съезжать
съехаться,съезжаться
просыпаться,сыпаться
сэкономить,сэконамливать
посюсюкать,сюсюкать
посюсюкаться,сюсюкаться
потабанить,табанить
станцевать,танцевать
вытаращить,таращить
вытаращиться,таращиться
потаскать,таскать
потаскаться,таскаться
потемнеть,темнеть
стемнеть,темнеть
протеоретизировать,теоретизировать
потеплеть,теплеть
потеребить,теребить
растерзать,терзать
истерзаться,терзаться
вытерпеть,терпеть
потерпеть,терпеть
затерроризировать,терроризировать
потерять,терять
потеряться,теряться
растеряться,теряться
потеснить,теснить
потесниться,тесниться
протестировать,тестировать
протестироваться,тестироваться
потечь,течь
стибрить,тибрить
затикать,тикать
тикнуть,тикать
растиражировать,тиражировать
растиражироваться,тиражироваться
затискать,тискать
соткать,ткать
сотлеть,тлеть
толкнуть,толкать
толкнуться,толкаться
истолочь,толочь
растолочь,толочь
растолочься,толочься
столпиться,толпиться
потолстеть,толстеть
растолстеть,толстеть
утомить,томить
утомиться,томиться
утонуть,тонуть
затопать,топать
истопить,топить
утопить,топить
протопиться,топиться
утоптать,топтать
потоптаться,топтаться
поторговать,торговать
поторговаться,торговаться
восторжествовать,торжествовать
тормознуть,тормозить
заторопиться,торопиться
проторчать,торчать
затосковать,тосковать
вытошнить,тошнить
затошнить,тошнить
стошнить,тошнить
потощать,тощать
истрактовать,трактовать
протралить,тралить
утрамбовать,трамбовать
утрамбоваться,трамбоваться
оттранспортировать,транспортировать
потратить,тратить
потратиться,тратиться
потребовать,требовать
потребоваться,требоваться
потревожить,тревожить
потревожиться,тревожиться
отрезветь,трезветь
потрезветь,трезветь
протрезветь,трезветь
затрезвонить,трезвонить
натренировать,тренировать
натренироваться,тренироваться
потренироваться,тренироваться
потрепать,трепать
потрепаться,трепаться
затрепетать,трепетать
потрескаться,трескаться
затрещать,трещать
потрогать,трогать
тронуться,трогаться
затроллить,троллить
потроллить,троллить
протрубить,трубить
потрудиться,трудиться
перетрусить,трусить
струсить,трусить
затрусить,трусить
затрястись,трястись
потужить,тужить
натужиться,тужиться
отупеть,тупеть
потускнеть,тускнеть
потусоваться,тусоваться
стушеваться,тушеваться
потушить,тушить
протушиться,тушиться
ткнуть,тыкать
тыкнуться,тыкаться
стырить,тырить
тюкнуть,тюкать
тюкнуться,тюкаться
тявкнуть,тявкать
тяпнуть,тяпать
убавить,убавлять
убавиться,убавляться
убежать,убегать
убедить,убеждать
убедиться,убеждаться
убелить,убелять
уберечься,уберегаться
убить,убивать
убиться,убиваться
убрать,убирать
убраться,убираться
ублаготворить,ублаготворять
ублаготвориться,ублаготворяться
ублажить,ублажать
ублажиться,ублажаться
убыть,убывать
убыстрить,убыстрять
убыстриться,убыстряться
уведомить,уведомлять
уведомиться,уведомляться
увековечить,увековечивать
увековечиться,увековечиваться
увеличить,увеличивать
увеличиться,увеличиваться
увенчаться,увенчиваться
уверить,уверять
увериться,уверяться
увеселить,увеселять
увешать,увешивать
увешаться,увешиваться
увить,увивать
увлажнить,увлажнять
увлажниться,увлажняться
увлечь,увлекать
увлечься,увлекаться
увести,уводить
увезти,увозить
уволить,увольнять
уволиться,увольняться
увязать,увязывать
увязаться,увязываться
угадать,угадывать
угадаться,угадываться
угаснуть,угасать
углубить,углублять
углубиться,углубляться
уговорить,уговаривать
уговориться,уговариваться
угодить,угождать
угнать,угонять
угостить,угощать
угоститься,угощаться
заугрожать,угрожать
угрозить,угрожать
удаться,удаваться
удалить,удалять
удалиться,удаляться
ударить,ударять
удариться,ударяться
удвоить,удваивать
удвоиться,удваиваться
удержать,удерживать
удержаться,удерживаться
удешевить,удешевлять
удешевиться,удешевляться
удивить,удивлять
удивиться,удивляться
удрать,удирать
удлинить,удлинять
удлиниться,удлиняться
удобрить,удобрять
удовлетворить,удовлетворять
удовлетвориться,удовлетворяться
удорожить,удорожать
удорожиться,удорожаться
удостоиться,удостаиваться
удостоверить,удостоверять
удостовериться,удостоверяться
удручить,удручать
удручиться,удручаться
уединить,уединять
уединиться,уединяться
уехать,уезжать
ужаснуть,ужасать
ужаснуться,ужасаться
ужесточить,ужесточать
ужесточиться,ужесточаться
ужиться,уживаться
ужать,ужимать
ужаться,ужиматься
поужинать,ужинать
узаконить,узаконивать
узакониться,узакониваться
указать,указывать
укатить,укатывать
укачать,укачивать
укачаться,укачиваться
уложить,укладывать
уложиться,укладываться
укоротить,укорачивать
укоротиться,укорачиваться
укоренить,укоренять
укорениться,укореняться
укорить,укорять
приукрашать,украшать
украсить,украшать
украситься,украшаться
укрепиться,укрепляться
укротить,укрощать
укротиться,укрощаться
укрупнить,укрупнять
укрупниться,укрупняться
укрыть,укрывать
укрыться,укрываться
укупорить,укупоривать
укупориться,укупориваться
укутать,укутывать
уловиться,улавливаться
уладить,улаживать
уладиться,улаживаться
уломать,уламывать
уломаться,уламываться
улететь,улетать
улетучиться,улетучиваться
уличить,уличать
уличиться,уличаться
улучить,улучать
улучшить,улучшать
улучшиться,улучшаться
заулыбаться,улыбаться
улыбнуться,улыбаться
умолчать,умалчивать
умалить,умалять
умаслить,умасливать
умаслиться,умасливаться
умастить,умащать
умаститься,умащаться
уменьшить,уменьшать
приуменьшаться,уменьшаться
уменьшиться,уменьшаться
умерить,умерять
суметь,уметь
уместить,умещать
уместиться,умещаться
умилить,умилять
умилиться,умиляться
умереть,умирать
умиротворить,умиротворять
умиротвориться,умиротворяться
умолкнуть,умолкать
умудрить,умудрять
умудриться,умудряться
умыть,умывать
умягчить,умягчать
умягчиться,умягчаться
унавозить,унаваживать
унизить,унижать
унизиться,унижаться
унять,унимать
уняться,униматься
сунифицировать,унифицировать
уничтожить,уничтожать
уничтожиться,уничтожаться
унести,уносить
унестись,уноситься
приунывать,унывать
упаковать,упаковывать
упаковаться,упаковываться
упечь,упекать
упереться,упираться
уплатить,уплачивать
уплести,уплетать
уплотнить,уплотнять
уплотниться,уплотняться
уплощить,уплощать
уплощиться,уплощаться
уплыть,уплывать
уподобить,уподоблять
уподобиться,уподобляться
упокоить,упокаивать
уползти,уползать
уполномочить,уполномочивать
уполномочиться,уполномочиваться
упомянуть,упоминать
упомянуться,упоминаться
упорядочить,упорядочивать
упорядочиться,упорядочиваться
употребить,употреблять
управиться,управляться
поупражняться,упражняться
упразднить,упразднять
упраздниться,упраздняться
упросить,упрашивать
упроситься,упрашиваться
упредить,упреждать
упредиться,упреждаться
упрекнуть,упрекать
упрочиться,упрочаться
упрочить,упрочивать
упрочнить,упрочнять
упрочниться,упрочняться
упроститься,упрощаться
заупрямиться,упрямиться
упрятать,упрятывать
упрятаться,упрятываться
уработаться,урабатываться
уравнять,уравнивать
уравняться,уравниваться
уравновесить,уравновешивать
уравновеситься,уравновешиваться
уразуметь,уразумевать
урезонить,урезонивать
урезониться,урезониваться
изуродовать,уродовать
изуродоваться,уродоваться
заурчать,урчать
урвать,урывать
усадить,усаживать
усесться,усаживаться
усвоить,усваивать
усвоиться,усваиваться
усеять,усеивать
усеяться,усеиваться
усечь,усекать
усечься,усекаться
усилить,усиливать
усилиться,усиливаться
ускользнуть,ускальзывать
